Date,S,I,R,beta,gamma
15/Jul/2020,"4,100,000",10,0,0.17,0.071428571
16/Jul/2020,"4,099,998.30",10.99,0.71,0.17,0.071428571
17/Jul/2020,"4,099,996.43",12.07,1.5,0.17,0.071428571
18/Jul/2020,"4,099,994.38",13.26,2.36,0.17,0.071428571
19/Jul/2020,"4,099,992.13",14.56,3.31,0.17,0.071428571
20/Jul/2020,"4,099,989.65",16,4.35,0.17,0.071428571
21/Jul/2020,"4,099,986.93",17.58,5.49,0.17,0.071428571
22/Jul/2020,"4,099,983.95",19.31,6.75,0.17,0.071428571
23/Jul/2020,"4,099,980.66",21.21,8.13,0.17,0.071428571
24/Jul/2020,"4,099,977.06",23.3,9.64,0.17,0.071428571
25/Jul/2020,"4,099,973.10",25.6,11.3,0.17,0.071428571
26/Jul/2020,"4,099,968.75",28.12,13.13,0.17,0.071428571
27/Jul/2020,"4,099,963.97",30.89,15.14,0.17,0.071428571
28/Jul/2020,"4,099,958.72",33.93,17.35,0.17,0.071428571
29/Jul/2020,"4,099,952.95",37.28,19.77,0.17,0.071428571
30/Jul/2020,"4,099,946.61",40.95,22.43,0.17,0.071428571
31/Jul/2020,"4,099,939.65",44.99,25.36,0.17,0.071428571
1/Aug/2020,"4,099,932.01",49.42,28.57,0.17,0.071428571
2/Aug/2020,"4,099,923.61",54.29,32.1,0.17,0.071428571
3/Aug/2020,"4,099,914.38",59.64,35.98,0.17,0.071428571
4/Aug/2020,"4,099,904.24",65.52,40.24,0.17,0.071428571
5/Aug/2020,"4,099,893.11",71.97,44.92,0.17,0.071428571
6/Aug/2020,"4,099,880.87",79.07,50.06,0.17,0.071428571
7/Aug/2020,"4,099,867.43",86.86,55.71,0.17,0.071428571
8/Aug/2020,"4,099,852.67",95.42,61.91,0.17,0.071428571
9/Aug/2020,"4,099,836.45",104.82,68.73,0.17,0.071428571
10/Aug/2020,"4,099,818.64",115.15,76.22,0.17,0.071428571
11/Aug/2020,"4,099,799.06",126.49,84.44,0.17,0.071428571
12/Aug/2020,"4,099,777.56",138.96,93.48,0.17,0.071428571
13/Aug/2020,"4,099,753.95",152.65,103.4,0.17,0.071428571
14/Aug/2020,"4,099,728.00",167.69,114.31,0.17,0.071428571
15/Aug/2020,"4,099,699.50",184.22,126.28,0.17,0.071428571
16/Aug/2020,"4,099,668.19",202.37,139.44,0.17,0.071428571
17/Aug/2020,"4,099,633.79",222.31,153.9,0.17,0.071428571
18/Aug/2020,"4,099,596.01",244.21,169.78,0.17,0.071428571
19/Aug/2020,"4,099,554.50",268.28,187.22,0.17,0.071428571
20/Aug/2020,"4,099,508.91",294.71,206.38,0.17,0.071428571
21/Aug/2020,"4,099,458.82",323.74,227.43,0.17,0.071428571
22/Aug/2020,"4,099,403.80",355.64,250.56,0.17,0.071428571
23/Aug/2020,"4,099,343.36",390.68,275.96,0.17,0.071428571
24/Aug/2020,"4,099,276.97",429.17,303.87,0.17,0.071428571
25/Aug/2020,"4,099,204.03",471.45,334.52,0.17,0.071428571
26/Aug/2020,"4,099,123.91",517.89,368.2,0.17,0.071428571
27/Aug/2020,"4,099,035.90",568.91,405.19,0.17,0.071428571
28/Aug/2020,"4,098,939.22",624.95,445.82,0.17,0.071428571
29/Aug/2020,"4,098,833.03",686.51,490.46,0.17,0.071428571
30/Aug/2020,"4,098,716.37",754.13,539.5,0.17,0.071428571
31/Aug/2020,"4,098,588.23",828.41,593.37,0.17,0.071428571
1/Sep/2020,"4,098,447.47",910,652.54,0.17,0.071428571
2/Sep/2020,"4,098,292.85",999.61,717.54,0.17,0.071428571
3/Sep/2020,"4,098,123.01","1,098.05",788.94,0.17,0.071428571
4/Sep/2020,"4,097,936.45","1,206.18",867.37,0.17,0.071428571
5/Sep/2020,"4,097,731.54","1,324.94",953.53,0.17,0.071428571
6/Sep/2020,"4,097,506.46","1,455.38","1,048.17",0.17,0.071428571
7/Sep/2020,"4,097,259.23","1,598.65","1,152.12",0.17,0.071428571
8/Sep/2020,"4,096,987.68","1,756.01","1,266.31",0.17,0.071428571
9/Sep/2020,"4,096,689.42","1,928.84","1,391.74",0.17,0.071428571
10/Sep/2020,"4,096,361.83","2,118.66","1,529.51",0.17,0.071428571
11/Sep/2020,"4,096,002.03","2,327.12","1,680.85",0.17,0.071428571
12/Sep/2020,"4,095,606.86","2,556.07","1,847.07",0.17,0.071428571
13/Sep/2020,"4,095,172.86","2,807.49","2,029.65",0.17,0.071428571
14/Sep/2020,"4,094,696.22","3,083.60","2,230.18",0.17,0.071428571
15/Sep/2020,"4,094,172.76","3,386.80","2,450.44",0.17,0.071428571
16/Sep/2020,"4,093,597.91","3,719.74","2,692.35",0.17,0.071428571
17/Sep/2020,"4,092,966.64","4,085.32","2,958.05",0.17,0.071428571
18/Sep/2020,"4,092,273.43","4,486.72","3,249.86",0.17,0.071428571
19/Sep/2020,"4,091,512.23","4,927.43","3,570.34",0.17,0.071428571
20/Sep/2020,"4,090,676.43","5,411.28","3,922.30",0.17,0.071428571
21/Sep/2020,"4,089,758.74","5,942.45","4,308.82",0.17,0.071428571
22/Sep/2020,"4,088,751.19","6,525.53","4,733.28",0.17,0.071428571
23/Sep/2020,"4,087,645.06","7,165.56","5,199.39",0.17,0.071428571
24/Sep/2020,"4,086,430.76","7,868.03","5,711.21",0.17,0.071428571
25/Sep/2020,"4,085,097.82","8,638.97","6,273.21",0.17,0.071428571
